Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
RS DEKK AS;MONGSTADVEGEN 1006;5954;MONGSTAD;HJUL;996199061
Mårvik Bilverksted;Nordslettvegen 2;7038;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";997534743
A-K Maskiner avd Vinstra;Lomoen;2640;VINSTRA;TRAKTOR;946468037
Hauglund Maskin AS;Stein;8920;SØMNA;TRAKTOR;984655843
Autolast Møre AS;Lerstadveien 304;6014;Ålesund;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";982830834
Møller Bil Vest AS avd. Nyttekjøretøy;Billingstadsletta 2;1396;BILLINGSTAD;"BILVERKSTED01B, KONTROLLORGAN01B";928481638
BRUKTBILCENTRALEN;pb.110;5207;Søfteland;"BILVERKSTED01, KONTROLLORGAN01";956288606
TK  Motor  Alta  AS;Storengveien 21;9515;ALTA;"BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01";968457675
BILSENTERET AS-Avd. Tungbil;SEMSVEGEN 39;3676;NOTODDEN;"BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER, FARTSSKRIVER";957661009
TOLGA BIL AS;ERLIVEGEN;2540;TOLGA;"BILVERKSTED01, TRAKTOR, BILSKADE, KONTROLLORGAN01, MOTORSYKKELOGMOPED";916576773
VOSS OLJE AS;STRANDAVEGEN 62;5705;VOSS;HJUL;990026483
BURFJORD AUTOSENTER AS;Strandveien 2;9161;BURFJORD;HJUL;979740336
BJERLAND LAKK OG KAROSSERI AS;SKARPENGLAND;4715;ØVREBØ;"BILGLASS, LYSUTSTYR";977193788
Jern & Maskin AS;Fabrikkveien 2;8610;MO I RANA;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";997385772
STRANDVEIEN AUTO STJØRDAL AS;Teglgata 4;7502;STJØRDAL;"BILVERKSTED01, KONTROLLORGAN01";958648499
Nor-Ka AS;Nerstad;3350;Prestfoss;PABYGGER;984589824
SARPSBORG BILSERVICE AS;STATSMINISTER TORPS VEI 51;1738;BORGENHAUGEN;BILVERKSTED01B;916518935
Eidanger Auto AS;Floodmyrvegen 21;3946;PORSGRUNN;"BILVERKSTED01, KONTROLLORGAN01";994887041
LAMBERTSETER BILVERKSTED AS;CECILIE THORESENS VEI 7;1153;OSLO;"BILSKADE, BILVERKSTED01, KONTROLLORGAN01";914375517
Nomek AS;Grandevegen 13;6783;STRYN;PABYGGER;979885717
Etac Bil AS avd. Elverum;Industrigata 10;2405;Elverum;"BILVERKSTED01, PABYGGER";999065465
"Moster Bil AS,";Mostravegen 537;5440;Mosterhamn;"BILVERKSTED01, KONTROLLORGAN01";986088806
DEKKLÅVEN AS;HØSBJØRVEGEN 184;2388;BRUMUNDDAL;HJUL;992190094
VIANOR AS avd. Røros;Osloveien 25;7374;RØROS;"HJUL, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01, BILVERKSTED01B";935429447
Auto 8 - 8 SILDNES & Halaas as;Vika 6;6490;Eide;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";919687304
Varhaug Servicesenter AS;Varhaugvn 17;4360;VARHAUG;"BILVERKSTED01B, KONTROLLORGAN01B";986931627
TALSTAD AS;ØRAN VEST;6300;ÅNDALSNES;"HJUL, HENGERESPALOPSBREMSEANLEGG";916974167
Autovia  AS;Jongsåsveien 4;1338;SANDVIKA;"BILVERKSTED01, KONTROLLORGAN01";990682119
TESLA MOTORS NORWAY AS AVD BERGEN 1 - MINDE;Minde Alle 35;5068;BERGEN;BILVERKSTED01;914194563
"Bjerkvik Tekniske Verksted, Osmarka";Lensmannsparten 61;8534;Liland;BILVERKSTEDALLE;988567388
RD SERVICEPARTNER AS;Haugsjordet 15;3145;TJØME;HJUL;999014453
Furnes Bilservice AS;Furnesvegen 69;6036;MAUSEIDVÅG;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";996170845
Indre Arna Biloppretting as;Storaneset 43;5260;INDRE ARNA;BILSKADE;961117526
Fritidssenteret AS;Kongsveien;2920;LEIRA;MOTORSYKKELOGMOPED;966751150
AUTOGLASS AS avd. Sotra;Einarsengården;5343;STRAUME;BILGLASS;968552732
HASLE BILSERVICE AS;TRONDHEIMSVEGEN 648;2040;KLØFTA;"BILVERKSTED01, KONTROLLORGAN01";917593213
OPPDAL BILSKADE AS;KÅSVEGEN 3;7340;OPPDAL;BILSKADE;916515529
KRISTIAN THOWSEN AS avd. Porsgrunn;Kjølnes Ring 2;3918;PORSGRUNN;BILGLASS;916748426
AUTOCENTERET  A/S;Liamyrane 6;5132;NYBORG;"BILVERKSTED01, KONTROLLORGAN01";988664367
Haugtrac AS;Frakkagjerdveien 100;5563;FØRRESFJORDEN;TRAKTOR;936684777
NORDLAND BILOPPHUGGING AS;FOLLAVEIEN 90;8208;FAUSKE;HJUL;967679038
Gules Mek og Landbruksverkstad AS;Hardangerfjordvegen 569;5610;ØYSTESE;TRAKTOR;956648092
Surnadal Biloppretting AS;Industrivegen 57;6650;SURNADAL;"BILSKADE, PABYGGER";997868471
SJØHOLT MASKIN AS;Kyrkjevegen 5;6240;ØRSKOG;"LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, HJUL";932652978
Mobile Jessheim AS;Energiveien 14;2069;JESSHEIM;"BILVERKSTED01, KONTROLLORGAN01";996493717
Normann Bilverksted AS;Ing. Rybergsgt. 99;3027;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";982796776
Byåsen videregående skole;Selsbakkvegen 34;7027;TRONDHEIM;"BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01";984477112
Tip Trailer Services Norway ANS;Deliveien 27;1540;VESTBY;"BILVERKSTED03, KONTROLLORGAN03";979349149
Vianor AS avd. Narvik;Verkstedbakken 17;8514;NARVIK;"BILVERKSTED01B, KONTROLLORGAN01B, HJUL";935429447
TVEIT BILVERKSTAD;Tveitvegen 171;3855;Treungen;BILVERKSTED01;953124882
Bertel O. Steen Oslo  AS  ;Økernveien 147 ;0580;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";984993250
RIIS MONTASJE AS avd. Knarvik;Bruvegen 3;5914;ISDALSTØ;BILGLASS;921979436
Auto`n AS;Osenveien 44;7740;STEINSDALEN;"BILVERKSTED01, KONTROLLORGAN01";987658312
BILVAREHUSET AS;IVAR ÅSENGATE 14;6150;ØRSTA;HJUL;977228565
Auto Fornebu AS;Snarøyveien 73;1364;FORNEBU;"BILVERKSTED01, KONTROLLORGAN01";998537711
SNAP DRIVE  avd Agnes Mowinkelsgt;Agnes Mowinckelsgt. 6;5008;BERGEN;"BILVERKSTED01, KONTROLLORGAN01";971585188
Tass Bil & Karosseri AS;Nordset Industriområde;7540;KLÆBU;BILSKADE;893094342
Dahles Auto Råbekken AS;Smørbøttaveien 4;1617;FREDRIKSTAD;"BILVERKSTED01, KONTROLLORGAN01";954231046
TruckNor Arendal;Kristian Birkelandsvei 5;4820;Arendal;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";960070682
STRAUMSNES SERVICESENTER A.S;Kvisvik;6674;Kvisvik;"BILVERKSTED01B, KONTROLLORGAN01B";929417240
MOTOR-TRADE AS;Russervegen 2;7652;VERDAL;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03";980352706
Bilia Økern avd. Volvo;Økernveien 115;0579;OSLO;"BILVERKSTED01, KONTROLLORGAN01";976023188
STORFJORD BILSERVICE AS;;6240;ØRSKOG;"BILVERKSTED01B, KONTROLLORGAN01";998915104
AASEN BIL OG LANDBRUK AS;GVAMMEN;3630;RØDBERG;"BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR";864346812
BilForum Notodden AS;Semsvegen 80;3676;NOTODDEN;"BILVERKSTED01, KONTROLLORGAN01";950090413
Bjerkreim Bilverksted AS;Vikesågt 2 ;4389;Vikeså;BILVERKSTED01;956796792
ERIK TVEITEN;HELLEVEIEN 50;4595;TINGVATN;HJUL;816798442
Laastad & Co;Hjøllo;5750;ODDA;"BILVERKSTED01, KONTROLLORGAN01";975941264
SLATLEM BILSENTRUM A/S;Bedriftsveien 11;6517;Kristiansund N;"BILVERKSTED01, KONTROLLORGAN01";959116059
TISTELS AUTO;"Fjordavegen 772, LIMMESAND";6891;VIK I SOGN;"BILVERKSTED01, KONTROLLORGAN01, HJUL";919295929
"Bertel O.Steen Bilsenter AS, avd Larvik";Lågaveien 2;3262;LARVIK;"BILVERKSTED01, KONTROLLORGAN01";918707565
PER AALAND A/S;Brusdalsvegen 205;6022;Ålesund;"BILVERKSTED01B, KONTROLLORGAN01B";933240851
"Norsk Scania AS, avd Stjørdal";Sutterøygata 13;7502;STJØRDAL;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";879263662
Nordic Last og Buss AS avd. Harstad;Bårnakkvegen 4;9406;Harstad;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";979463332
GVARV BILVERKSTED AS;Strannavegen 33;3810;Gvarv;BILVERKSTED01;981617088
Wist Last & Buss AS avd Mo i Rana;Myra 6;8610;Mo i Rana;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";958315120
Thrane-Steen Skøyen AS;Drammensveien 161;0277;OSLO;"BILVERKSTED01, KONTROLLORGAN01";934625692
SERVICE SYSTEMS BILSALG AS;VONHEIM;7120;LEKSVIK;"BILGLASS, LYSUTSTYR, HJUL";980425452
MOBILE FREDRIKSTAD AS;Stabburv 20;1617;Fredrikstad;"BILVERKSTED01, KONTROLLORGAN01";915803199
"SEBRA BILGLASS AS, Riis Berger";Bølerveien 92;2020;SKEDSMOKORSET;BILGLASS;986102280
Team Verksted Vest AS;Espehaugen 29;5258;BLOMSTERDALEN;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR";963914083
Rena Bilberging;Hovdmovegen 4;2450;Rena;"BILVERKSTED01B, KONTROLLORGAN01B";979521294
LEONHARD NILSEN & SØNNER AS;Saltfjellveien 805;8630;STORFORSHEI;BILVERKSTED01;937843771
FØRDE BILSALG AS;ØYRANE 1;6800;FØRDE;BILVERKSTED01;912098923
"Felleskjøpet Rogaland Agder, avd Haugesund";Industrigata 4;5537;HAUGESUND;TRAKTOR;915442552
KORSFJORD HANDEL V STEN ÅGE TORSTEINSEN;LERRESFJORDVEIEN 6;9536;KORSFJORDEN;HJUL;987484942
Nordmøre og Romsdal Felleskjøp;Fannestrandsvegen 63;6415;MOLDE;TRAKTOR;911608103
OLSEN DEKK & FELG AS;Vikaveien 29;8622;MO I RANA;HJUL;915735436
HAMJERN BIL A/S;Aslak Bolts gate 41;2316;HAMAR;"BILVERKSTED01, KONTROLLORGAN01";979450796
Y F TRADING DA;BLEIKMYRVEIEN 15;4276;VEAVÅGEN;"LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG";996709825
DEKKMESTEREN AS avd Holmlia;Rosenholmveien 13;1252;OSLO;HJUL;999325882
Holmen Bilservice AS;Holmenveien 18;8514;NARVIK;"BILVERKSTED01, KONTROLLORGAN01";997071387
SOGNDAL MC SENTER AS;Granden 23;6853;SOGNDAL;MOTORSYKKELOGMOPED;979758391
NARDO BIL NORD-TRØNDELAG AS AVD STEINKJER;MOLOVEIEN 10;7714;STEINKJER;"KONTROLLORGAN01, BILVERKSTED01";819264392
"NORSK SCANIA AS, avd Buss Arendal";Moland Park- Arendal;4846;ARENDAL;"BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN04";879263662
Liens Karosseriverksted;Flåkålivn.;2625;Fåberg;BILSKADE;971231653
"Handicare AS avd, Ålesund";Sjømannsvegen 9;6008;Ålesund;BILVERKSTED01;992751304
VARDEBERG DEKK GEIR OLAV FINSTAD;VARDEBERGVEGEN 470;2337;TANGEN;HJUL;911789973
DEKK OG DELER AS avd. Arna;Arnatveitvegen 137;5262;ARNATVEIT;HJUL;996430022
Skjervøy Bilservice AS;Kveldsolveien 1;9180;SKJERVØY;"BILVERKSTED01, KONTROLLORGAN01";911748169
Autotech Skien A/S;Risingveien 11;3716;SKIEN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";988177768
TIDE VERKSTED ROGALAND AS;Leirangergata 31;5522;HAUGESUND;"FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";918101217
Snap Drive AS avd. Helsfyr;Grenseveien 80;0663;OSLO;"BILVERKSTED01, KONTROLLORGAN01";971585188
Dimmelsvik Bil A.S;OMVIKDALSVEGEN 65;5464;DIMMELSVIK;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";979459114
GO DEKK AS;ÅNESTADVEGEN 14;4360;VARHAUG;HJUL;999632882
Sande Bilsenter A/S;Gallebergveien 4;3070;SANDE I VESTFOLD;"BILVERKSTED01, KONTROLLORGAN01";984195680
HARALDSVIK SERVICE AS;GAUTVIKVEGEN 1;6493;LYNGSTAD;BILVERKSTED01;918276440
RSA Bil Drammen;Ø. Eikervei 77;3005;DRAMMEN;"BILVERKSTED01, KONTROLLORGAN01";915518389
CARGLASS AS;Janaflaten 52;5179;GODVIK;BILGLASS;985758220
Auto Teknikk Enebakk AS;Osloveien 717;1914;YTRE ENEBAKK;"BILVERKSTED01, KONTROLLORGAN01";997850831
Felleskjøpet Agri SA avd. Fannrem;Reksteret;7320;FANNREM;TRAKTOR;911608103
VESTERÅLEN DEKKSENTER AS;Vesterålsgata 10;8400;SORTLAND;HJUL;998563453
JOH VIAN AS;IDRETTSGATA 28;8370;LEKNES;"KONTROLLORGAN01B, BILVERKSTED01B";915019102
Alta Autosenter AS;Altaveien 73;9513;ALTA;"BILVERKSTED01, KONTROLLORGAN01";877179532
RØYKEN GLASS AS;SLEMMESTADVEIEN 14;3440;RØYKEN;BILGLASS;914830796
BJØRGE  KAROSSERI  AS;Rødmyrsvingen  120;3740;SKIEN;"BILSKADE, PABYGGER";950307447
PK STRØM AUTO AS;LAGERVEGEN 15;8250;ROGNAN;"KONTROLLORGAN01, BILVERKSTED01";916918410
DEKK1 AS Asker Vulk;Nye Vaksåsvei 10;1395;HVALSTAD;HJUL;979579292
Ålgård Landbrukssenter AS;Ålgårdslåtten 2A;4330;ÅLGÅRD;TRAKTOR;929440390
Multiservice Overhalla AS;Mølnvegen 10;7863;OVERHALLA;"PABYGGER, LYSUTSTYR, HJUL, EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, BILVERKSTED01, KONTROLLORGAN01B";974474530
MARE SAFE SEA AS;HALLEBYGDA;6084;LARSNES;PABYGGER;989470043
ASBJØRN GOBERG AS;Porsgrunnsveien 125;3735;SKIEN;"BILVERKSTED01B, KONTROLLORGAN01B";912022544
NILS SØRHAUG AS;ØVREGATA 133;5527;HAUGESUND;"KONTROLLORGAN01, BILVERKSTED01";916974523
AUTOTAL AS;Kåsvegen 14;7340;OPPDAL;BILVERKSTED01;917804125
BRAGES Kristiansund;Verkstedveien 13;6517;KRISTIANSUND N;"BILVERKSTED01, KONTROLLORGAN01";980743039
Tørvikbygd Auto AS;Tørvikbygdvegen 440;5620;TØRVIKBYGD;"KONTROLLORGAN01B, BILVERKSTED01B";990648662
Sven Kvia AS;Somaveien 1 ;4313;SANDNES;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";845933162
"Volvo Norge, Volvo Truck Center Jessheim";Brannmannsvegen 2;2069;JESSHEIM;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";910712799
PETTERS AUTOSHOP AS;STRANDSENTERET;9350;SJØVEGAN;HJUL;950919825
Skaugs Lakk og Skadesenter AS;Fremstadvegen 17;2380;BRUMUNDDAL;BILSKADE;912896498
Skude Transport og Spedisjon AS;Fotvegen 2;4250;KOPERVIK;"BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, FARTSSKRIVER";945751428
INGEBRIGTSEN BIL;Garås;3623;LAMPELAND;BILVERKSTED01;970344535
Automarin AS (Askvollvegen 406);ASKVOLLVEGEN 406;6980;ASKVOLL;"BILGLASS, EKSOSANLEGG, LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG";952819283
Bertel O. Steen Romerike A/S avd.Lillestrøm;Sørumsgata 9;2000;LILLESTRØM;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B";984993153
Toyota Oslo AS ;Kabelgata 6;0580;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";950273038
BYÅSEN BILSKADESENTER AS;Nils Uhlin Hansensv. 70;7026;TRONDHEIM;BILSKADE;979323638
TEAM VERKSTED MØRE AS;VÅGAVEIEN 25;6008;ÅLESUND;"FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";935862957
Nye Vøling Auto AS;Åse;8484;Risøyhamn;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";987345284
TORFINN TROLI AS;Tollå;8114;TOLLÅ;HJUL;998931037
MELHUS BIL TRONDHEIM AS;Tungasletta 8;7047;TRONDHEIM;"BILVERKSTED01B, KONTROLLORGAN01B";944638741
Flissundet Motorservice AS;Flissundveien 37;2270;Flisa;"BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01";985128863
NIK HAUGRØNNING AS;Bynesveien 987;7070;BOSBERG;"BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, PABYGGER";916876157
Hoel Mekaniske Verksted;Hevle;7340;OPPDAL;TRAKTOR;996482324
TONSTAD AUTOSENTER ;TONSTADVEIEN 17;4440;TONSTAD;HJUL;955816773
Wist Last & Buss AS;Sandmoflata 4;7093;TILLER;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";958315120
KVERNELAND BIL AS avd. Mazda Bilhuset;Vestre Svanholmen 11;4313;SANDNES;"BILVERKSTED01, KONTROLLORGAN01";977047684
VIANOR AS avd. Notodden;Semsveien 38;3676;NOTODDEN;"BILVERKSTED01, HJUL, KONTROLLORGAN01";935429447
MC TUNING  AS;Østre Rosten 84F;7075;TRONDHEIM;MOTORSYKKELOGMOPED;992644079
Star Bilskade AS;Rødmyrsvingen 66;3735;SKIEN;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";961915937
BERGEN BILLAKKERING AS;HESTHAUGVEGEN 18;5119;ULSET;BILSKADE;914228573
HANSHUS BIL;Hanshus;7288;SOKNEDAL;"BILVERKSTED01, KONTROLLORGAN01";985642508
Midtstøl Transport AS;Stoaveien 19;4848;ARENDAL;PABYGGER;914290864
Finstadhagen Last A/S;Finstadhagen industriområde ;1930;AURSKOG;"BILVERKSTEDALLE, KONTROLLORGAN04";980990206
CARGLASS AS;Prestegardskogen 2;5200;OS;BILGLASS;985758220
HEDMARK BILSENTER A/S ;Åsmarkvegen 835;2364;Næroset;"BILVERKSTED01B, KONTROLLORGAN01B";979430930
FØRDE VULK AS;HALBRENDSØYRA 9;6800;FØRDE;HJUL;961802296
MOBILGLASS BERGEN;SKJOLDLIA 36;5236;RÅDAL;BILGLASS;917822840
Fosnavåg Bilverksted AS;Myklebustvegen 65;6092;FOSNAVÅG;"BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01, BILSKADE";935444497
LØKVOLL MOTELL OG AUTO-SENTER AS;LØKVOLLVEGEN 5;9144;SAMUELSBERG;HJUL;931903225
Trøgstad Karosseriverksted;"Kirkeveien 51,  ";1860;Trøgstad;BILSKADE;939780122
Tide Verksted AS avd. Lonevåg;Straumsfjellveien 2;5282;LONEVÅG;"BILVERKSTED03, KONTROLLORGAN04, BILVERKSTED01, BILVERKSTED02";985538220
Dekkteam Tiller As;ØSTRE ROSTEN 80;7075;TILLER;HJUL;994465465
OPSAL OG FJELNSET AS; Vinjeøra;7203;VINJEØRA;"KONTROLLORGAN01B, BILVERKSTED01B";932223937
Bil Rep AS;Holmejordetveien. 40;3267;LARVIK;"BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B";988083186
Lier Auto AS;Gjellerbekkstubben 19;3420;LIERSKOGEN;"KONTROLLORGAN01, BILVERKSTED01";994295411
HÆHRE & ISACHSEN VERKSTED AS;TANGEN;3370;VIKERSUND;BILVERKSTED03;934176472
Hagen og Tveit Karosseri AS;Tjønnevold;4700;VENNESSLA;"BILVERKSTED01, KONTROLLORGAN01";913809874
JONS DEKK & FELG AS;VALLERMYRVEGEN 30;3917;PORSGRUNN;HJUL;985553645
MODUL-SYSTEM AS AVDELING DRAMMEN;SVEND HAUGS GATE 11;3013;DRAMMEN;BILVERKSTED01;911743787
HETLE AUTO ANR AS;REED;6827;BREIM;"BILVERKSTED01, KONTROLLORGAN01B";916569505
Skjellerud Verksted ANS;Sagvollveien 467;2830;Raufoss;"BILVERKSTED01B, KONTROLLORGAN01";983190766
Holmestrand Servicesenter AS;Hvittingfossveien 153;3080;Holmestrand;"BILVERKSTED01, KONTROLLORGAN01";984020163
Møller Bil AS Sandnes og Jæren;Kvernelandsveien;4323;SANDNES;"BILVERKSTED01B, KONTROLLORGAN01B";933625583
Østbyen Bil og Karosseri A/S;Brusdalsvn. 244;6011;ÅLESUND;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";984144644
EKNES KAROSSERI A/S;Leknesvegen 254;5915;HJELMÅS;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";937110553
KJETILS CARAVAN OG TILHENGER VERKSTED KJETIL HANSEN;FRAKKAGJERDVEGEN 125;5563;FØRRESFJORDEN;HENGERESPALOPSBREMSEANLEGG;917961360
"VIANOR AS, avd Arendal";Stoaveien 17;4848;ARENDAL;"BILVERKSTED01B, KONTROLLORGAN01B";935429447
NORHEIM LAKKERING AS;NOREVEGEN 18;5542;KARMSUND;BILSKADE;971153881
Hundvåg Bilverksted AS;Austbøsletta 6;4085;HUNDVÅG;"BILVERKSTED01, KONTROLLORGAN01";992600365
AUTOPULS AS;CARLBERGVEIEN 4;1526;MOSS;"BILVERKSTED01, KONTROLLORGAN01";913284798
Fixbil Knarvik AS;Kvassnesvegen 41;5914;ISDALSTØ;"BILVERKSTED01, KONTROLLORGAN01";985283796
DEKKMANN AS avd. Namsos;Industrivegen 9;7820;SPILLUM;HJUL;966242825
NAF Senter Førde;FJÆREVEGEN 2;6800;FØRDE;KONTROLLORGAN01;987372540
AUTOFILM AS;LIERVEGEN 12;2164;SKOGBYGDA;BILGLASS;920566146
Star Auto AS;Industriveien 31;1337;Sandvika;"BILVERKSTED01, KONTROLLORGAN01";982718171
EKSOS PLUSS AS;SMALVOLLVEIEN 63;0667;OSLO;"HJUL, EKSOSANLEGG";913169727
SNIPPEN BILSERVICE AS;OVERHALLSVEIEN 5-7;7803;NAMSOS;"BILVERKSTED01, KONTROLLORGAN01";958330537
Bilform AS;Bråteveien 175;2013;SKJETTEN;PABYGGER;992042036
Forsvarets prototypverksted FFI;INSTITUTTVEIEN 20;2007;KJELLER;PABYGGER;970963340
DEKK1 AS avd Kalbakken;Østre Aker vei 206;0975;OSLO;"HJUL, HENGERESPALOPSBREMSEANLEGG";979579292
Fevik Bilverksted A/S;FEVIKVEIEN 49;4870;Fevik;"BILVERKSTED01, KONTROLLORGAN01";935756774
Madla Bil AS;Revheimsvn 74;4043;Hafrsfjord;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";987768088
Leere's Motorsport A/S;Mossev. 47;1610;Fredrikstad;MOTORSYKKELOGMOPED;829275252
DEKKCENTERET AS;LERSTADVEGEN 302;6014;ÅLESUND;HJUL;928336042
AUTOSENTERET KARASJOK AS;FINNLANDSVEIEN 1;9730;KARASJOK;"HJUL, LYSUTSTYR";984250169
Magne Gitmark & Co A/S;Tingsaker;4790;Lillesand;"PABYGGER, TRAKTOR";976625358
Classic Auto Service AS;Trondheimsvegen 535;2092;MINNESUND;BILVERKSTED01;996503208
NETTBUSS AS avd. Eidsvoll;Botshaugtangen;2080;EIDSVOLL;"KONTROLLORGAN04, BILVERKSTEDALLE";976948394
BLOM SERVISE SENTER AS.;;5337;RONG;"BILVERKSTED01, KONTROLLORGAN01";976274059
PROFF BILGLASSERVICE AS;Drammensveien 34;3050;MJØNDALEN;BILGLASS;919371269
Etac Bil AS avd. Frogner;Lindebergvegen 3;2016;FROGNER;"BILVERKSTED01, PABYGGER";999065465
RIIS MONTASJE AS avd. 848 Hadeland Bilglass;Mohagalia 3;2770;JAREN;BILGLASS;921979436
Nørve`s Automobilservice AS;Storevågen 80;6020;ÅLESUND;"BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01";997245504
Utvik  Autoservice AS;Karmøyvegen 478;4262;AVALDSNES;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B";951642150
Snap Drive AS avd. Rødtvet;Kakkelovnskroken 1 ;0954;OSLO;"BILVERKSTED01, KONTROLLORGAN01";971585188
Kvavik Auto AS;Åneveien 4;4580;Lyngdal;"BILVERKSTED01, KONTROLLORGAN01";976561104
LILLESAND BILOPPHOGGING DA;MOEN;4790;LILLESAND;BILVERKSTED01;990625107
Norddal Auto;Sletteland;6963;DALE I SUNNFJ.;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";996479935
Gummi og Maskin Elven;Sollihagaen 15;7374;RØROS;MOTORSYKKELOGMOPED;980940799
ETNE BILSERVICE AS;Tongane 65;5590;ETNE;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";917198675
WEB-BIL BJØRN ERIK WALLE;KROERVEIEN 115;1435;ÅS;HJUL;979189087
Sandefjord Bil AS;Hegnasletta 13 ;3217;SANDEFJORD;"BILVERKSTED01B, KONTROLLORGAN01B";898012212
"SNAP DRIVE AS, avd. Byåsen";Selsbakkvegen 36A;7027;TRONDHEIM;"KONTROLLORGAN01, BILVERKSTED01";971585188
Autoservice Gjøvik AS;Mattisrudsvingen 5;2827;HUNNDALEN;"BILVERKSTED01, KONTROLLORGAN01";912879038
Førde Auto AS;Hanaleite 4;5555;FØRDE i HORDALAND;"BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B";980802965
Harley-Davidson Nord-Norge;Bjørkåsveien 18;8540;Ballangen;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";946047740
Roa Bilverksted AS;Roalinna 2;2740;ROA;"BILVERKSTED01, KONTROLLORGAN01";987760265
FLØTRE MASKIN AS;FJELLVEGEN 22;6826;BYRKJELO;TRAKTOR;997721977
VIANOR AS avd Haugesund;Raglamyrvegen 11;5536;HAUGESUND;"BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01";935429447
Brabil;Synnalandsvegen 22;6270;Brattvåg;"BILVERKSTED01B, KONTROLLORGAN01B";927190788
HØSTLAND AUTO AS;Utøyvegen 766;7670;INDERØY;"BILVERKSTED01, KONTROLLORGAN01";998588391
BERGE MOTOR  AS;Industriv. 8a;6517;Kristiansund N.;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";939259317
KOKSTAD BILVERKSTED AS;Kokstadvegen 31;5257;KOKSTAD;"BILVERKSTED01B, KONTROLLORGAN01B";996396819
RAMSENGS  AUTO AS;Ranenget 6;8626;Mo i Rana;"BILVERKSTED01B, KONTROLLORGAN01B";977168554
